ID,Age,Sex,Latitude,Longitude,Location,mass,SVL,Season,fveg10,frock10,fveg20,frock20,fveg30,frock30,fveg40,frock40,fveg50,frock50,fveg60,frock60,fveg70,frock70,fveg80,frock80,fveg90,frock90,fveg100,frock100,Mi
GS60,Adult,Female,31.381756,35.374879,Mishmar River,2,44.78,Summer,0.015326361,0.028849621,0.005682971,0.019912951,0.005793383,0.034229069,0.005987518,0.028477355,0.00566837,0.024163636,0.005101402,0.026524282,0.011402273,0.030878549,0.011819275,0.03143679,0.012312366,0.036087394,0.012184,0.038033168,1.730024474
GS61,Adult,Female,31.381184,35.374924,Mishmar River,2.2,48.09,Summer,0.001442091,0.098332582,0.00261662,0.084340882,0.005021147,0.084437451,0.005502529,0.065900673,0.006945798,0.061703939,0.006521995,0.058274515,0.009105335,0.052827882,0.013342955,0.050929299,0.020539776,0.049799268,0.02224315,0.04900475,1.442633585
GS62,Adult,Female,31.381474,35.37988,Mishmar River,2.4,44.55,Summer,0.027880538,0.016962916,0.026521131,0.017094403,0.022358742,0.021947846,0.028203394,0.033806866,0.022211077,0.033536706,0.018061089,0.033613972,0.015052861,0.030166471,0.012907518,0.027967228,0.011611475,0.029851079,0.011092219,0.030798789,2.117968543
GS63,Adult,Female,31.3522898,35.352975,Tse'elim River,1.8,42.15,Summer,9.03E-05,0.085162106,0.006133033,0.113145434,0.002886958,0.146082058,0.001764593,0.178827138,0.001327782,0.18639096,0.001769144,0.183524907,0.001980708,0.174799352,0.001729414,0.170526957,0.001676006,0.168390188,0.001720163,0.157263651,1.969656505
GS72,Adult,Female,31.3822,35.369845,Mishmar River,1.2,40.18,Winter,0.003610434,0.060655294,0.002593244,0.132165246,0.002345136,0.124743188,0.003201966,0.122311729,0.002388512,0.109564872,0.002335307,0.113670817,0.001960568,0.112170247,0.0016744,0.117513826,0.001734994,0.119231258,0.00255452,0.11634433,1.581384983
GS73,Adult,Female,31.382091,35.369192,Mishmar River,1.1,40.32,Winter,0.000541077,0.118225268,0.002209546,0.112912317,0.001312902,0.096042253,0.00128534,0.10797418,0.001414427,0.117787143,0.001240303,0.115523583,0.001382482,0.105037314,0.001119055,0.103894566,0.001054595,0.106992956,0.001068923,0.107185511,1.430151267
GS74,Adult,Female,31.382037,35.368721,Mishmar River,0.9,40.06,Winter,0.00667328,0.066552439,0.001781486,0.101296651,0.000831838,0.090369717,0.000608866,0.08199956,0.000508742,0.081593627,0.000836881,0.093289669,0.000716124,0.10613363,0.001957695,0.103611235,0.001723911,0.106406981,0.001489262,0.10794306,1.199897334
GS79,Adult,Female,31.382132,35.374921,Mishmar River,1.1,41.27,Winter,0.000811835,0.005773047,0.00487024,0.022840522,0.026542109,0.024757934,0.029993798,0.022867452,0.023993275,0.025627704,0.022180961,0.025080122,0.022477329,0.03029377,0.018977038,0.031367646,0.016723537,0.03370321,0.015432784,0.034184125,1.306471144
GS38,Adult,Female,31.352723,35.358282,Tse'elim River,1.4,42.11,Winter,0.056467617,0.178152625,0.020300447,0.204651058,0.016715102,0.169706383,0.014635246,0.151493968,0.012297566,0.140029156,0.011824193,0.134984728,0.013218552,0.118285786,0.011616353,0.110948716,0.010757717,0.104017996,0.013002933,0.097324003,1.537614718
GS81,Adult,Female,31.352468,35.358245,Tse'elim River,1.3,44.04,Winter,0,0.014976543,0,0.121318721,0.008109056,0.116764396,0.014923438,0.131570936,0.010553433,0.138951728,0.010441175,0.147875307,0.009438009,0.142781405,0.011254436,0.128595148,0.009795591,0.119404647,0.009287255,0.108750009,1.199700829
GS83,Adult,Female,31.352364,35.360933,Tse'elim River,1.9,46.02,Winter,0.000631712,0.02373432,0.002457612,0.048926768,0.004780661,0.050432464,0.015727702,0.041940539,0.018354019,0.070897676,0.016678318,0.090204745,0.01473623,0.089221842,0.014618787,0.088544295,0.013383506,0.089968384,0.013137136,0.09037509,1.478094792
GS59,Adult,Male,31.381762,35.377064,Mishmar River,1.4,44.84,Summer,0.002523887,0,0.001939558,0,0.003868898,0.004670743,0.005564608,0.014996815,0.006188096,0.017893161,0.006720036,0.017449042,0.007133455,0.017490312,0.007130374,0.016878083,0.006620488,0.017017272,0.006656191,0.01907194,1.204735499
GS58,Adult,Male,31.350523,35.366498,Tse'elim River,1.8,41.97,Summer,0.001082056,0.011992786,0.000789444,0.013646104,0.001904399,0.021369363,0.001240303,0.027376872,0.002183044,0.031053346,0.002107162,0.040026058,0.001835403,0.042635837,0.002143712,0.046159571,0.002944458,0.048648155,0.003791326,0.050883876,2.002669388
GS65,Adult,Male,31.354021,35.367666,Tse'elim River,1.7,40.71,Summer,0.001172122,0.097195925,0.000947119,0.091509753,0.002315163,0.0899105,0.01322028,0.084981875,0.02260468,0.083267486,0.023179132,0.092904445,0.033078496,0.095918251,0.037169,0.093628614,0.039739362,0.092944938,0.038291573,0.092290359,2.129124281
GS66,Adult,Male,31.380827,35.375118,Mishmar River,1,37.02,Winter,0.012542862,0.094206822,0.014276049,0.082498872,0.017298749,0.082605035,0.031501745,0.078991132,0.039617107,0.078281671,0.040369644,0.074334669,0.04210941,0.06937541,0.043020498,0.066555414,0.041464642,0.069105139,0.043317073,0.064674333,1.811433784
GS67,Adult,Male,31.382521,35.373823,Mishmar River,1.6,43.29,Winter,0.007935077,0.022993688,0.004758361,0.038630675,0.008438988,0.035359559,0.008529951,0.030472163,0.010019809,0.0327511,0.012813606,0.038443325,0.01649973,0.044230617,0.016825531,0.042908063,0.01882506,0.042982253,0.020835344,0.043840999,1.578421022
GS68,Adult,Male,31.382466,35.373604,Mishmar River,1.7,41.09,Winter,0.000811688,0.033189033,0.009020793,0.026160299,0.013381044,0.035582552,0.009973164,0.031565714,0.010799128,0.033663838,0.009258308,0.036564679,0.016223809,0.043010674,0.016544232,0.044125938,0.017108761,0.044778114,0.016026563,0.04601131,2.05366256
GS69,Adult,Male,31.381984,35.371281,Mishmar River,1.2,39.31,Winter,0.000180391,0.112834852,0.006968248,0.123714595,0.00510112,0.111342727,0.00545145,0.11528661,0.004658111,0.112848231,0.00627147,0.106822948,0.006393217,0.106884351,0.005699636,0.105713871,0.00589778,0.110342831,0.006883506,0.110110843,1.72171784
GS70,Adult,Male,31.380614,35.37023,Mishmar River,1.3,38.67,Winter,0,0.23109547,6.76E-05,0.238906926,3.01E-05,0.264793137,0.003500939,0.24484584,0.003030795,0.244253216,0.002919317,0.231239945,0.003804983,0.220186475,0.003694198,0.214269103,0.004168305,0.206792677,0.005346378,0.202098862,1.987981479
GS71,Adult,Male,31.381706,35.374386,Mishmar River,1.4,44.13,Winter,0.002798086,0.013268346,0.008140898,0.024445246,0.004670134,0.018269645,0.008045238,0.017979162,0.005859305,0.017686152,0.006266647,0.021014941,0.008670728,0.026617845,0.011677089,0.028562006,0.012117385,0.029200437,0.011777737,0.030547069,1.281781672
GS80,Adult,Male,31.38193,35.374415,Mishmar River,1.6,43.2,Winter,0.005501939,0.003607829,0.023677979,0.015176457,0.013639735,0.017007075,0.009205964,0.014696846,0.011629124,0.018838242,0.01648426,0.019100093,0.016512312,0.022609166,0.014504172,0.027233905,0.013757698,0.028373999,0.013716498,0.029863106,1.591231364
GS82,Adult,Male,31.352464,35.358241,Tse'elim River,1.9,43.66,Winter,0,0.014426111,0,0.116877846,0.007196047,0.117672409,0.014404267,0.131352253,0.010503413,0.13956442,0.010413717,0.148748775,0.009456469,0.143023346,0.011241292,0.128883045,0.009687395,0.119278908,0.009264813,0.10878917,1.813429997
GS84,Adult,Male,31.351941,35.359811,Tse'elim River,2,46.36,Winter,0.000180489,0.030412418,0.006966677,0.035261758,0.004149378,0.068645138,0.004121049,0.057474828,0.00569338,0.055007144,0.005740675,0.053159501,0.005042212,0.051753084,0.004679451,0.054883472,0.004256276,0.056165699,0.004823135,0.057007167,1.512036899
GS47,Adult,Female,31.380732,35.380528,Mishmar River,2.4,46.09,Summer,0,0,0,0,0.000160361,0.013189677,0.008693152,0.018993015,0.013519657,0.020064802,0.0144198,0.021177437,0.019301998,0.027788619,0.021249967,0.031310473,0.020846279,0.037583217,0.023404294,0.040778459,1.856077687
GS50,Adult,Female,31.380391,35.380379,Mishmar River,1.8,44.16,Summer,0.049354868,0.016060633,0.029556983,0.022725736,0.025878485,0.042486018,0.028734271,0.037742976,0.028976147,0.047828142,0.031688517,0.049585037,0.03546722,0.052062279,0.037166238,0.053659822,0.036517964,0.053429461,0.041946259,0.054879583,1.643660906
GS51,Adult,Female,31.381446,35.376602,Mishmar River,2.5,44.81,Summer,0.002704408,0.034977013,0.013848479,0.016103931,0.0117673,0.016337904,0.011653277,0.013744891,0.0131738,0.019278995,0.01282562,0.022196165,0.012643361,0.02461479,0.013261209,0.025455488,0.016431635,0.029747328,0.017702492,0.031195173,2.156912822
GS52,Adult,Female,31.382104,35.37604,Mishmar River,1.6,43.05,Summer,0.01363185,0.094520177,0.015285073,0.05811935,0.007597246,0.063674541,0.010898491,0.057283327,0.012563458,0.046559121,0.012684333,0.041320554,0.015908225,0.040322803,0.014921818,0.04255826,0.013610775,0.044930482,0.014159351,0.042954331,1.612873864
GS53,Adult,Female,31.381141,35.374223,Mishmar River,1.9,40.49,Summer,0.000450694,0.022534703,0.005885404,0.037905608,0.004690554,0.027241293,0.004561087,0.020161245,0.005563895,0.020783419,0.007000699,0.02558738,0.011816706,0.034837099,0.014036586,0.041872973,0.017040829,0.045602203,0.019370622,0.051213889,2.430221806
GS13,Adult,Female,31.380026,35.370694,Mishmar River,1.4,38.66,Summer,0.004326663,0.117090319,0.012446729,0.192540982,0.013659505,0.20824982,0.0134179,0.215244538,0.019372251,0.19366478,0.02500808,0.190736412,0.026293118,0.179436768,0.027407995,0.182223845,0.026322999,0.176855316,0.025204179,0.171034994,2.143054783
GS15,Adult,Female,31.380119,35.368301,Mishmar River,1.2,39.32,Summer,0.007130607,0,0.004125896,0.010483835,0.005732899,0.027982962,0.004881981,0.046519756,0.007861743,0.064127866,0.007527464,0.066591993,0.010575884,0.083509905,0.012389373,0.092425569,0.014236572,0.10032863,0.019846421,0.110865559,1.720017781
GS29,Adult,Female,31.351755,35.358468,Tse'elim River,2.6,45.95,Summer,0.000901469,0.086450915,0.002300406,0.087054578,0.002305348,0.113653677,0.00362517,0.101375084,0.002749503,0.111593016,0.002853843,0.117433496,0.002998768,0.119074487,0.002975335,0.114786469,0.002900975,0.112858501,0.003924784,0.11354903,2.034650005
GS48,Adult,Female,31.351535,35.353829,Tse'elim River,1.8,44.45,Summer,0.004327053,0.041016857,0.002367958,0.04390871,0.001343129,0.049735885,0.000975379,0.068868504,0.000826267,0.081529857,0.001713796,0.090087043,0.001511333,0.090895368,0.001517992,0.090185908,0.001252822,0.098461758,0.001995313,0.09868681,1.602401313
GS49,Adult,Female,31.351456,35.359039,Tse'elim River,2.1,45.19,Summer,0.000450775,0.012621709,0.000518672,0.01939383,0.000441019,0.035161222,0.00439185,0.05118563,0.004246844,0.054119294,0.004422439,0.054540079,0.003707501,0.060139206,0.0033263,0.069412556,0.003086949,0.080113678,0.002650194,0.089919881,1.753346924
GS54,Adult,Female,31.351717,35.354576,Tse'elim River,2.1,44.18,Summer,0,0.025997472,0.001037111,0.013256978,0.002967062,0.032778012,0.003117759,0.030298076,0.002576259,0.025297136,0.003087124,0.030252307,0.002993257,0.040808437,0.0024468,0.060104468,0.002070239,0.067104026,0.00191503,0.073434127,1.914234976
GS55,Adult,Male,31.351742,35.354377,Tse'elim River,1.7,41.15,Summer,0,0.00252662,0,0.009942958,0.002024535,0.011876604,0.002068981,0.019607401,0.001948361,0.028334223,0.002666059,0.046470604,0.003070579,0.069126689,0.002539863,0.077305151,0.00209808,0.080935316,0.001970038,0.081523857,2.042056844
GS57,Adult,Male,31.351149,35.358654,Tse'elim River,1.5,39.85,Summer,0.003517633,0.032560657,0.010665885,0.074751392,0.006875194,0.082071378,0.005310543,0.096395934,0.005560146,0.102528946,0.004056668,0.102584341,0.003164452,0.118515082,0.002673631,0.132386311,0.002912046,0.140139021,0.003646873,0.142761142,2.041072532
GS75,Adult,Male,31.382084,35.37005,Mishmar River,0.7,40.5,Winter,0.000811469,0.061671626,0.003360094,0.10186271,0.003377566,0.097368105,0.003647721,0.104814203,0.003247444,0.114010558,0.00260829,0.1248647,0.002139136,0.126245835,0.001850565,0.130158292,0.001575785,0.123655154,0.00148747,0.120838648,0.894486544
GS76,Adult,Male,31.380688,35.36793,Mishmar River,1.2,41.89,Winter,0,0.06598756,0,0.117530285,0.001773903,0.162828222,0.009403646,0.147459099,0.011207251,0.143987559,0.010586054,0.128122573,0.008238385,0.114199662,0.007224776,0.106442115,0.006555913,0.105146286,0.00607078,0.112626952,1.345043356
GS78,Adult,Male,31.382865,35.373306,Mishmar River,1.7,43.79,Winter,0.013268346,0.045130427,0.01316917,0.049406936,0.012920881,0.04258177,0.01937259,0.046818971,0.020984042,0.05056952,0.0198905,0.059235501,0.018544324,0.062333522,0.017082356,0.063100419,0.015512889,0.060088222,0.013671977,0.056931242,1.603914058
GS17,Adult,Male,31.381337,35.372089,Mishmar River,1.9,46.21,Winter,0.028661559,0.030914826,0.05761122,0.059640578,0.044720173,0.071810856,0.03323956,0.079953095,0.02667879,0.07891423,0.019859037,0.074537788,0.019156249,0.07644827,0.018290139,0.075176037,0.017301593,0.076576476,0.015184002,0.079848385,1.454629891
GS18,Adult,Male,31.380037,35.371307,Mishmar River,2.6,51.81,Winter,0.007125462,0.244971588,0.006877424,0.172093443,0.011837582,0.166217286,0.02298047,0.148747237,0.021709404,0.145056483,0.025182353,0.141772888,0.026915282,0.141411538,0.031450849,0.143348443,0.033016094,0.148515072,0.031928856,0.153374327,1.27651635
GS20,Adult,Male,31.380407,35.378172,Mishmar River,2.2,43.55,Winter,0.112082958,0.160144274,0.060267052,0.177282569,0.054645685,0.141355117,0.05012544,0.113572939,0.047344473,0.094259559,0.050101601,0.086209532,0.057014887,0.080845494,0.063934593,0.079023624,0.070745025,0.075113899,0.070584203,0.073572643,2.120435334
GS42,Adult,Male,31.351872,35.364375,Tse'elim River,2.8,47.94,Winter,0,0.185425685,0.001533258,0.081668546,0.000962184,0.058603029,0.01431366,0.070119459,0.027649487,0.089666893,0.025655996,0.108114,0.021298843,0.115000865,0.019868334,0.119407318,0.01803393,0.109860642,0.020883058,0.104866309,1.858493048
GS43,Adult,Male,31.351674,35.364558,Tse'elim River,2.2,42.65,Winter,0.008835197,0,0.007262066,0.024898512,0.005211831,0.045683702,0.004927191,0.051774973,0.00627449,0.04899803,0.004961163,0.059842145,0.010134221,0.067200654,0.013884465,0.075847994,0.013568548,0.08912545,0.013040831,0.097259143,2.299583274
GS44,Adult,Male,31.35298,35.363849,Tse'elim River,2.1,43.29,Winter,0.057178932,0.158098846,0.042453362,0.170332273,0.028983183,0.128460043,0.039373985,0.109800649,0.033194167,0.104547734,0.027664399,0.089983839,0.029126946,0.089761292,0.028196567,0.097016429,0.028537638,0.095942858,0.029450898,0.098181385,2.071677591
GS45,Adult,Male,31.352956,35.364041,Tse'elim River,2,43.95,Winter,0.026180374,0.337004604,0.054504454,0.172691397,0.045091456,0.14416437,0.034851534,0.119629498,0.035325528,0.097367994,0.032103437,0.095435809,0.029548806,0.102499434,0.028607107,0.098541386,0.031083132,0.101069179,0.032238104,0.101227105,1.860416711
GS46,Adult,Male,31.352956,35.364041,Tse'elim River,2.1,41.16,Winter,0.026180374,0.337004604,0.054504454,0.172691397,0.045091456,0.14416437,0.034851534,0.119629498,0.035325528,0.097367994,0.032103437,0.095435809,0.029548806,0.102499434,0.028607107,0.098541386,0.031083132,0.101069179,0.032238104,0.101227105,2.520161309
GS85,Adult,NA,31.352011,35.359523,Tse'elim River,2.3,46.29,Winter,0.00099269,0.014258641,0.006584733,0.023542677,0.00400894,0.024644958,0.003399271,0.051795187,0.003763224,0.050956862,0.003174707,0.046402834,0.002720853,0.042077495,0.003251572,0.042667896,0.003775089,0.045747624,0.010864918,0.052871423,1.749077547
GS86,Adult,NA,31.351923,35.358573,Tse'elim River,1.7,42.71,Winter,0.000992332,0.078033378,0.001262911,0.10204772,0.001172815,0.092993184,0.00199585,0.098834063,0.003027231,0.092083377,0.002555667,0.088927196,0.002242194,0.091434746,0.002693473,0.09363165,0.003980102,0.104457068,0.007487782,0.107700121,1.767274801
GS87,Adult,NA,31.352374,35.358291,Tse'elim River,1.8,44.44,Winter,0,0.023429756,0,0.039321789,0.001262727,0.090535557,0.005327605,0.110447744,0.010478269,0.132396399,0.009919596,0.147473497,0.009517393,0.142363259,0.010879401,0.133542211,0.009666462,0.121504538,0.009429988,0.113842707,1.603802231
GS88,Adult,NA,31.352225,35.358126,Tse'elim River,1.4,38.13,Winter,0.00207338,0.128188948,0.000654066,0.084803103,0.000340797,0.097788826,0.000778048,0.138751854,0.00476297,0.158541954,0.007398981,0.165578827,0.007415085,0.149078545,0.00757705,0.132971864,0.007493611,0.125020463,0.008743492,0.122913126,2.26108965
GS89,Adult,NA,31.352221,35.358122,Tse'elim River,1.9,44.11,Winter,0.002076374,0.129006049,0.000653875,0.087281008,0.000340811,0.098975562,0.000716025,0.139748996,0.004600397,0.158841782,0.007344429,0.164995314,0.007427684,0.149536667,0.007554754,0.133165231,0.007398936,0.125286341,0.008618069,0.123041563,1.742626269
GS11,Adult,NA,31.379605,35.367956,Mishmar River,2.5,49.67,Summer,0.033101831,0.124379904,0.042409204,0.100383487,0.036126588,0.094139576,0.038928384,0.082541705,0.032900695,0.081313574,0.029566599,0.084595551,0.042065555,0.080701283,0.044905006,0.074470064,0.044510594,0.073683191,0.041522039,0.074951831,1.445922359
GS12,Adult,NA,31.379943,35.368383,Mishmar River,1.8,44.77,Summer,0.003428984,0.00730915,0.003811113,0.023701064,0.002164676,0.055038884,0.002536998,0.062703312,0.005329013,0.082341735,0.01063406,0.096222704,0.016137405,0.097380387,0.020484618,0.097118003,0.020752549,0.097878307,0.022268366,0.103888372,1.558373235
GS23,Adult,NA,31.379949,35.371584,Mishmar River,1.8,41.45,Winter,0.033089893,0.239383284,0.027448239,0.278835311,0.027242112,0.230064547,0.0388176,0.172460647,0.036665933,0.151076489,0.042644351,0.13903261,0.045343338,0.126650602,0.040495439,0.128675766,0.038042165,0.12687552,0.035494087,0.131148975,2.102028995
GS36,Adult,NA,31.351711,35.358872,Tse'elim River,1.7,36.34,Winter,0.000360913,0.096002887,0.000789319,0.060597176,0.005302673,0.069776766,0.004262301,0.063179022,0.003048835,0.068178456,0.00275616,0.06480985,0.00271531,0.06349408,0.003154365,0.064502398,0.002942208,0.072679893,0.003003764,0.082513312,3.309352662
GS37,Adult,NA,31.352773,35.360423,Tse'elim River,1.8,44.31,Winter,0.037250834,0.068097772,0.018262987,0.138235029,0.013318635,0.162980408,0.015914805,0.14541498,0.013350171,0.146162728,0.012545696,0.141931491,0.012431405,0.119397078,0.010543778,0.103674607,0.010345523,0.095816912,0.011560704,0.0951521,1.622155098
GS14,Adult,NA,31.379817,35.368124,Mishmar River,1.4,40.32,Summer,0.002886003,0.022005772,0.002413171,0.033784393,0.007396791,0.049422188,0.015057898,0.06492767,0.016842865,0.072596067,0.018792047,0.077638717,0.026540283,0.078582579,0.032171041,0.080904707,0.034071749,0.086720092,0.035713513,0.086153707,1.820192522
GS32,Adult,NA,31.352656,35.364096,Tse'elim River,2.41,47.32,Summer,0.00126331,0.006316549,0.001826793,0.052954443,0.016156028,0.095633262,0.02303989,0.174183147,0.022925469,0.176155203,0.040585034,0.154171511,0.043075501,0.144058732,0.038813085,0.138554735,0.033088194,0.130451874,0.030234968,0.123319415,1.682585397
GS34,Adult,NA,31.350547,35.355911,Tse'elim River,1.5,44.52,Summer,0.005683869,0.054402743,0.003901053,0.028637788,0.004610327,0.07211153,0.004650665,0.11639627,0.004290018,0.128816005,0.003716075,0.119976847,0.003158935,0.114043824,0.003568685,0.111269124,0.003829737,0.111602465,0.004448762,0.112230217,1.327198205
GS19,Adult,NA,31.380073,35.370984,Mishmar River,1.8,43.62,Winter,0.017939241,0.077255927,0.016688091,0.144284329,0.012699463,0.136536765,0.009313706,0.144965694,0.011351459,0.155936423,0.021528277,0.164275889,0.024450454,0.174278977,0.026101149,0.178020293,0.027888646,0.173354388,0.026070076,0.164526258,1.724113243
GS21,Adult,NA,31.380331,35.376801,Mishmar River,2.3,46.7,Winter,0.003247046,0.029043023,0.037336821,0.057854035,0.053314626,0.054888009,0.052046454,0.050107115,0.057629027,0.04844634,0.075118453,0.046281286,0.082962857,0.043424475,0.093078026,0.04208884,0.105633113,0.042500022,0.11002855,0.044272654,1.690186647
GS22,Adult,NA,31.380341,35.37634,Mishmar River,2.3,45.93,Winter,0.041959935,0.062353366,0.047615825,0.054946542,0.073393392,0.059955307,0.064448478,0.057142213,0.063581187,0.06312652,0.076542987,0.061691924,0.082338408,0.059577704,0.090200417,0.057930714,0.096035716,0.054901734,0.102271354,0.051832508,1.802928663
GS24,Adult,NA,31.380182,35.372165,Mishmar River,1.4,37.53,Winter,0.059491617,0.28492879,0.032877083,0.167609985,0.03905788,0.159929842,0.034081299,0.133590799,0.038221594,0.129115596,0.039724579,0.119446853,0.041298413,0.107977107,0.041898225,0.101242415,0.043154387,0.097310354,0.043745659,0.093581035,2.404758285
GS35,Adult,NA,31.351488,35.35933701,Tse'elim River,1.4,39.34,Winter,0.000451182,0.022288396,0.001285086,0.043016571,0.002144826,0.05473315,0.002379046,0.051143859,0.002316385,0.047998239,0.002583552,0.048689054,0.003534388,0.063028087,0.003784403,0.061434183,0.003692811,0.071897332,0.00384989,0.078019814,2.002727991
GS39,Adult,NA,31.352723,35.358282,Tse'elim River,1.8,42.93,Winter,0.056467617,0.178152625,0.020300447,0.204651058,0.016715102,0.169706383,0.014635246,0.151493968,0.012297566,0.140029156,0.011824193,0.134984728,0.013218552,0.118285786,0.011616353,0.110948716,0.010757717,0.104017996,0.013002933,0.097324003,1.83426181
GS40,Adult,NA,31.352269,35.357681,Tse'elim River,2,40.63,Winter,0.006040389,0.373873062,0.001533569,0.224284522,0.000902039,0.16921242,0.004414227,0.160158078,0.008500658,0.138200646,0.008261087,0.130638938,0.007424371,0.124693719,0.007884548,0.116132879,0.008051575,0.107838759,0.008082259,0.106684912,2.524062334
GS41,Adult,NA,31.352269,35.357681,Tse'elim River,1.9,43.47,Winter,0.006040389,0.373873062,0.001533569,0.224284522,0.000902039,0.16921242,0.004414227,0.160158078,0.008500658,0.138200646,0.008261087,0.130638938,0.007424371,0.124693719,0.007884548,0.116132879,0.008051575,0.107838759,0.008082259,0.106684912,1.844409577
